RDO:;NO. 15 ILAGAN, ISABELA;;;;
ALL LOTS;;RR;120.00;;
ALL LOTS;;I;150.00;;
ALL LOTS;INTERIOR LOT;RR;70.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;LUNA;;;;
ALL LOTS;;CR;400.00;;
ALL LOTS;;RR;225.00;;
ALL LOTS;;I;400.00;;
ALL LOTS;INTERIOR LOT;RR;120.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;MARCOS;;;;
ALL LOTS;;CR;225.00;;
ALL LOTS;;RR;85.00;;
ALL LOTS;;I;225.00;;
ALL LOTS;INTERIOR LOT;RR;75.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;MATUSALEM;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;85.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOT;RR;60.00;;
ALL LOTS;INTERIOR LOT;A1;10.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;MASIGUN;;;;
ALL LOTS;;CR;350.00;;
ALL LOTS;;RR;145.00;;
ALL LOTS;;I;350.00;;
ALL LOTS;INTERIOR LOT;RR;80.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;MUNOZ EAST;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;115.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOT;RR;60.00;;
ALL LOTS;INTERIOR LOT;A1;15.00;;
ALL LOTS;INTERIOR LOT;A2;6.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;MUNOZ WEST;;;;
ALL LOTS;;CR;300.00;;
ALL LOTS;;RR;115.00;;
ALL LOTS;;I;300.00;;
ALL LOTS;INTERIOR LOT;RR;60.00;;
ALL LOTS;INTERIOR LOT;A1;15.00;;
ALL LOTS;INTERIOR LOT;A2;6.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;NUESA;;;;
ALL LOTS;;CR;350.00;;
ALL LOTS;;RR;150.00;;
ALL LOTS;;I;350.00;;
ALL LOTS;INTERIOR LOT;RR;90.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;QUILING;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;115.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOT;RR;60.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;RANG-AYAN;;;;
ALL LOTS;;CR;350.00;;
ALL LOTS;;RR;150.00;;
ALL LOTS;;I;400.00;;
ALL LOTS;INTERIOR LOT;RR;90.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;RIZAL;;;;
ALL LOTS;;CR;475.00;;
ALL LOTS;;RR;250.00;;
ALL LOTS;;I;475.00;;
ALL LOTS;INTERIOR LOT;RR;225.00;;
ALL LOTS;INTERIOR LOT;A1;12.00;;
ALL LOTS;INTERIOR LOT;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN ANTONIO;;;;
ALL LOTS;;CR;375.00;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;I;375.00;;
ALL LOTS;INTERIOR LOTS;RR;105.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN JOSE;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;150.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOTS;RR;75.00;;
ALL LOTS;INTERIOR LOTS;A1;12.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN LUIS;;;;
ALL LOTS;;CR;375.00;;
ALL LOTS;;RR;160.00;;
ALL LOTS;;I;375.00;;
ALL LOTS;INTERIOR LOTS;RR;100.00;;
ALL LOTS;INTERIOR LOTS;A1;12.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN PEDRO;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;115.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOTS;RR;80.00;;
ALL LOTS;INTERIOR LOTS;A1;12.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN PLACIDO;;;;
ALL LOTS;;CR;300.00;;
ALL LOTS;;RR;90.00;;
ALL LOTS;;I;300.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SAN RAFAEL;;;;
ALL LOTS;;CR;325.00;;
ALL LOTS;;RR;200.00;;
ALL LOTS;;I;250.00;;
ALL LOTS;INTERIOR LOTS;RR;80.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SIMIMBAAN;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;110.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;15.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;SINAMAR;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;110.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;VILLA CONCEPCION;;;;
ALL LOTS;;CR;275.00;;
ALL LOTS;;RR;110.00;;
ALL LOTS;;I;275.00;;
ALL LOTS;INTERIOR LOTS;RR;60.00;;
ALL LOTS;INTERIOR LOTS;A1;10.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;ROXAS;;;;
BARANGAY:;VIRA;;;;
ALL LOTS;;CR;700.00;;
ALL LOTS;;RR;400.00;;
ALL LOTS;;I;700.00;;
ALL LOTS;INTERIOR LOTS;RR;125.00;;
ALL LOTS;INTERIOR LOTS;A1;12.00;;
ALL LOTS;INTERIOR LOTS;A2;5.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAYS:;BAUTISTA, CALOOCAN;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAYS:;DABUBU GRANDE, DAPPIG, LAOAG, MAPALAD;;;;
ALL LOTS;;RR;60.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;DABUBU PEQUENO;;;;
ALL LOTS;;RR;70.00;;
ALL LOTS;;A2;7.50;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;MASAYA CENTRO (POBLACION);;;;
ALL LOTS;;CR;300.00;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;I;300.00;;
ALL LOTS;;A2;10.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;MASAYA NORTE;;;;
ALL LOTS;;RR;300.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;MASAYA SUR;;;;
ALL LOTS;;RR;100.00;;
ALL LOTS;;A2;7.50;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;NEMMATAN;;;;
ALL LOTS;;RR;90.00;;
ALL LOTS;;A2;7.50;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;PALACIAN;;;;
ALL LOTS;;RR;55.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAYS:;PANANG, QUIMALABASA NORTE, QUIMALABASA SUR, RANG-AY, SALAY, SAN ANTONIO, SINAOANGAN NORTE, SINAOANGAN SUR, SANTO NINO;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;A2;7.50;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;SANTOS;;;;
ALL LOTS;;RR;50.00;;
ALL LOTS;;A2;7.50;;
CITY/MUNICIPALITY:;SAN AGUSTIN;;;;
BARANGAY:;VIRGONEZA;;;;
ALL LOTS;;RR;40.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAYS:;ANONANG, ARINGAY, ESTRELLA, GUAM, NAKAR, SAN MARIANO NORTE, SAN MARIANO SUR, VILLA REMEDIOS,  VILLA SANCHEZ & VILLA THERESITA;;;;
ESTRELLA;BARANGAY ROAD;RR;50.00;;
ESTRELLA;BARANGAY ROAD;A1;6.00;;
ESTRELLA;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAYS:;BURGOS, CALAOGAN, PROGRESO, RIZAL, SAN FRANCISCO, NORTE, SAN FRANCISCO SUR, SAN RAFAEL & V. ROSE;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;CENTRO I;;;;
CENTRO I;PROVINCIAL ROAD;CR;150.00;;
CENTRO I;PROVINCIAL ROAD;X;100.00;;
CENTRO I;BARANGAY ROAD;RR;100.00;;
CENTRO I;BARANGAY ROAD;A1;9.00;;
CENTRO I;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;CENTRO II;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;COLORADO;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;DIETAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;9.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;DINGADING;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;30.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;DIPACAMO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;30.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;PALAWAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;80.00;;
ALL LOTS;PROVINCIAL ROAD;X;30.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN GUILLERMO;;;;
BARANGAY:;SINALUGAN;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;30.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;4.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;CAMARAG;;;;
ALL LOTS;;RR;80.00;;
ALL LOTS;;A1;17.00;;
ALL LOTS;;A2;8.50;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;CEBU;;;;
ALL LOTS;;RR;80.00;;
ALL LOTS;;A1;17.00;;
ALL LOTS;;A2;8.50;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;GOMEZ;;;;
ALL LOTS;;RR;85.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAYS:;GUD, NAGBUKEL, PATANAD;;;;
ALL LOTS;;RR;75.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;;CR;350.00;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;QUEZON;;;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;RAMOS EAST;;;;
ALL LOTS;;RR;225.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;RAMOS WEST;;;;
ALL LOTS;;RR;225.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;RIZAL EAST;;;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAYS:;RIZAL WEST, VICTORIA;;;;
ALL LOTS;;RR;175.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN ISIDRO;;;;
BARANGAY:;VILLAFLOR;;;;
ALL LOTS;;RR;150.00;;
ALL LOTS;;A1;15.00;;
ALL LOTS;;A2;8.00;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAY:;AGLIAM;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;I;50.00;;
ALL LOTS;BARANGAY ROAD;A1;10.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAY:;BABANUANG;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;I;100.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAY:;CABARITAN;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;I;90.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAY:;CANANIOGAN;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;I;90.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAY:;DISTRICT 1;;;;
ALL LOTS;MUNICIPAL ROAD;CR;200.00;;
ALL LOTS;MUNICIPAL ROAD;RR;150.00;;
ALL LOTS;MUNICIPAL ROAD;I;200.00;;
ALL LOTS;MUNICIPAL ROAD;A1;12.50;;
ALL LOTS;MUNICIPAL ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAYS:;DISTRICT 2, DISTRICT 3, DISTRICT 4;;;;
ALL LOTS;MUNICIPAL ROAD;CR;200.00;;
ALL LOTS;MUNICIPAL ROAD;RR;100.00;;
ALL LOTS;MUNICIPAL ROAD;I;200.00;;
ALL LOTS;MUNICIPAL ROAD;A1;12.50;;
ALL LOTS;MUNICIPAL ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAYS:;EDEN, MALALINTA, MARANIQUE, NUERA ERA, PISANG, SANDIAT & SANTA CRUZ;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;65.00;;
ALL LOTS;BARANGAY ROAD;I;125.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MANUEL;;;;
BARANGAYS:;SANDIAT EAST, SANDIAT WEST, SAN FRANCISCO,VILLANUEVA;;;;
ALL LOTS;BARANGAY ROAD;CR;100.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;I;130.00;;
ALL LOTS;BARANGAY ROAD;A1;12.50;;
ALL LOTS;BARANGAY ROAD;A2;7.50;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;ALIBADABAD;;;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;ANDARAYAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;BALAGAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;BINATUG;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;BITABIAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;BUYASAN;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;CADDAG;;;;
ALL LOTS;BARANGAY ROAD;RR;55.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;CADSALAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;CASALA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;CATAGUING;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DARAGUTAN EAST;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DARAGUTAN WEST;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DEL PILAR;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DIBULUAN;;;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;70.00;;
ALL LOTS;BARANGAY ROAD;I;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DICAMAY;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DINUMAN;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DIPUSU;;;;
ALL LOTS;BARANGAY ROAD;RR;45.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DISULAP;;;;
ALL LOTS;PROVINCIAL ROAD;X;40.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;DISUSUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;GANGALAN;;;;
ALL LOTS;BARANGAY ROAD;RR;35.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;IBUUAN;;;;
ALL LOTS;BARANGAY ROAD;RR;30.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;LIBERTAD;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;MACAYUCAYU;;;;
ALL LOTS;BARANGAY ROAD;RR;40.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;MALLABO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;60.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;MARRANAO;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;MATOYA;;;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;MINANGA;;;;
ALL LOTS;PROVINCIAL ROAD;CR;200.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;OLD SAN MARIANO;;;;
ALL LOTS;PROVINCIAL ROAD;CR;100.00;;
ALL LOTS;PROVINCIAL ROAD;X;50.00;;
ALL LOTS;BARANGAY ROAD;RR;60.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;PALUTAN;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;PANINAN;;;;
ALL LOTS;BARANGAY ROAD;RR;50.00;;
ALL LOTS;BARANGAY ROAD;A1;6.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;POBLACION;;;;
ALL LOTS;PROVINCIAL ROAD;CR;300.00;;
ALL LOTS;PROVINCIAL ROAD;X;150.00;;
ALL LOTS;BARANGAY ROAD;RR;200.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;6.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
BARANGAY:;SAN JOSE;;;;
ALL LOTS;BARANGAY ROAD;RR;100.00;;
ALL LOTS;BARANGAY ROAD;A1;8.00;;
ALL LOTS;BARANGAY ROAD;A2;5.00;;
CITY/MUNICIPALITY:;SAN MARIANO;;;;
